Simulation de data/galaxy_1000 avec dt = 0.001 et grille (20, 20, 1) sur 2 processus MPI
Contrôles :
  - Clic gauche + déplacement souris : rotation de la caméra
  - Molette de la souris : zoom
  - ESC ou fermeture de fenêtre : quitter
Update time: 2018.43 ms
Render time: 12 ms, Update time: 2019 msUpdate time: 2.72 ms
Render time: 9 ms, Update time: 3 msUpdate time: 2.68 ms
Render time: 13 ms, Update time: 3 msUpdate time: 2.45 ms
Render time: 5 ms, Update time: 2 msUpdate time: 2.50 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.64 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.44 ms
Render time: 6 ms, Update time: 2 msUpdate time: 3.94 ms
Render time: 17 ms, Update time: 4 msUpdate time: 5.03 ms
Render time: 2 ms, Update time: 5 msUpdate time: 4.04 ms
Render time: 3 ms, Update time: 4 msUpdate time: 2.95 ms
Render time: 5 ms, Update time: 3 msUpdate time: 3.24 ms
Render time: 5 ms, Update time: 3 msUpdate time: 4.15 ms
Render time: 5 ms, Update time: 4 msUpdate time: 2.86 ms
Render time: 4 ms, Update time: 3 msUpdate time: 2.47 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.62 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.55 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.68 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.49 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.41 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.39 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.38 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.59 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.58 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.55 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.57 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.84 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.48 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.54 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.62 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.56 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.51 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.49 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.52 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.75 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.45 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.74 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.79 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.55 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.73 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.89 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.62 ms
Render time: 5 ms, Update time: 2 msUpdate time: 2.52 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.58 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.91 ms
Render time: 6 ms, Update time: 3 msUpdate time: 3.09 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.74 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.67 ms
Render time: 7 ms, Update time: 2 msUpdate time: 2.51 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.49 ms
Render time: 2 ms, Update time: 3 msUpdate time: 2.68 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.74 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.69 ms
Render time: 5 ms, Update time: 2 msUpdate time: 2.75 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.73 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.75 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.45 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.48 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.75 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.67 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.48 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.39 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.40 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.52 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.45 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.53 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.75 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.43 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.45 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.54 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.46 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.42 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.44 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.62 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.54 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.37 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.51 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.47 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.45 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.64 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.41 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.93 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.46 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.70 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.42 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.63 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.50 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.59 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.39 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.37 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.40 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.57 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.48 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.45 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.61 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.68 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.57 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.45 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.48 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.57 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.80 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.50 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.73 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.69 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.67 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.50 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.86 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.61 ms
Render time: 7 ms, Update time: 2 msUpdate time: 2.80 ms
Render time: 6 ms, Update time: 3 msUpdate time: 3.04 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.54 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.70 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.73 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.72 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.69 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.74 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.69 ms
Render time: 5 ms, Update time: 2 msUpdate time: 2.67 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.43 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.39 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.52 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.55 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.39 ms
